gene,genename,pred.perf.R2,n.snps.in.model,pred.perf.pval,cor,pred.perf.qval
ENSRNOG00000021379,Txnl4b,0.524527111960585,4,3.47066428707212e-38,0.724242440043792,3.48519641553087e-37
ENSRNOG00000000512,Slc26a8,0.523686823611147,3,4.23666620219623e-38,0.723662092147397,4.22877673166767e-37
ENSRNOG00000020684,Vat1,0.520945769000204,4,8.10036281221049e-38,0.721765729998456,8.03686357000705e-37
ENSRNOG00000025787,Spag6l,0.519416165557471,3,1.16114423320525e-37,0.720705325051419,1.14518455958612e-36
ENSRNOG00000029784,Pak1,0.51876955660407,2,1.35158978374948e-37,0.720256590809185,1.3251248298792e-36
ENSRNOG00000002144,Exoc1,0.518686255821529,2,1.37827468654945e-37,0.720198761330182,1.34333847758814e-36
ENSRNOG00000017841,Psme3ip1,0.518038465177546,3,1.60441089587632e-37,0.71974889036215,1.55459794136777e-36
ENSRNOG00000015078,Ifitm3,0.517630184235839,4,1.76544951566291e-37,0.719465207105833,1.6928308300305e-36
ENSRNOG00000006591,Fam163b,0.517625211123843,2,1.7675066930295e-37,0.719461750980441,1.6928308300305e-36
ENSRNOG00000029682,Clic1,0.516353460459827,9,2.37973268888588e-37,0.718577386549164,2.26609192877006e-36
ENSRNOG00000004458,Ston2,0.516192258872456,2,2.47102288416435e-37,0.718465210620846,2.33957684627765e-36
ENSRNOG00000022323,Tcea1,0.515011368044454,3,3.25442820146707e-37,0.717642925168537,3.06380148839715e-36
ENSRNOG00000003120,Prelp,0.514822700306577,3,3.40060165381048e-37,0.7175114635367,3.18332581599671e-36
ENSRNOG00000001236,Brat1,0.514534598899672,1,3.63646101752791e-37,0.717310671117942,3.38499109096001e-36
ENSRNOG00000013305,Atp2c1,0.5133728283582,3,4.76370194959316e-37,0.716500403599468,4.40950811458884e-36
ENSRNOG00000024563,Ganc,0.512553227051307,5,5.76110417064125e-37,0.715928227583818,5.30312444983287e-36
ENSRNOG00000008100,Rgs20,0.511743996947261,3,6.94843749264192e-37,0.715362842861762,6.36073314952306e-36
ENSRNOG00000050183,RT1-CE1,0.508054551097412,8,1.6264258391498e-36,0.712779454738569,1.48068089684641e-35
